sample_id	family_ncbi	phylum_ncbi	comm_id	rela_fam_comm
1011244	Peptostreptococcaceae	Bacillota	1	0.0018326570059984846
1011244	Prevotellaceae	Bacteroidota	1	7.461596681270211e-4
1011244	Prevotellaceae	Bacteroidota	6	0.1842609131044889
1011244	Rhodospirillaceae	Pseudomonadota	6	0.011498648303417947
1011244	Rikenellaceae	Bacteroidota	6	0.2370388405801288
1011244	Selenomonadaceae	Bacillota	1	0.0032426758702108274
1011244	Spirochaetaceae	Spirochaetota	6	0
1011244	Streptococcaceae	Bacillota	1	0.008964733614324536
1011244	Succinivibrionaceae	Pseudomonadota	1	0.006718559874055192
1011244	Sutterellaceae	Pseudomonadota	1	4.128089665822134e-4
1011244	Sutterellaceae	Pseudomonadota	6	0.04536128691354612
1011244	Tannerellaceae	Bacteroidota	6	0.03238789410943359
1011244	Veillonellaceae	Bacillota	1	0.0553496097889752
1011245	Acetobacteraceae	Pseudomonadota	6	0.011100474323585267
1011245	Acidaminococcaceae	Bacillota	1	0.018792181226235875
1011245	Acidaminococcaceae	Bacillota	6	0.0070451941623564844
1011245	Atopobiaceae	Actinomycetota	1	9.8035077932433e-4
1011245	Bacteroidaceae	Bacteroidota	6	0.14461240577769308
1011245	Barnesiellaceae	Bacteroidota	6	0.013074826474939181
1011245	Bifidobacteriaceae	Actinomycetota	1	0.0987823639138619
1011245	Christensenellaceae	Bacillota	1	3.254283747766294e-4
1011245	Clostridiaceae	Bacillota	1	0.12064563450279679
1011245	Coriobacteriaceae	Actinomycetota	1	0.011295796200436062
1011245	Coriobacteriaceae	Actinomycetota	1	0.0011295672977784626
1011245	Desulfovibrionaceae	Pseudomonadota	1	0.007017926900100139
1011245	Eggerthellaceae	Actinomycetota	1	0.004944440441804455
1011245	Erysipelotrichaceae	Bacillota	1	0.011570936307903876
1011245	Eubacteriaceae	Bacillota	1	0.060760717080958974
1011245	Eubacteriales Family XIII. Incertae Sedis	Bacillota	1	7.071823174107866e-4
1011245	Fusobacteriaceae	Fusobacteriota	6	0
1011245	Hydrogenophilaceae	Pseudomonadota	6	0.1540656561257433
1011245	Lachnospiraceae	Bacillota	1	0.045735498054799914
1011245	Lachnospiraceae	Bacillota	6	0.005980345680039543
1011245	Lactobacillaceae	Bacillota	1	0.004122148999489888
1011245	Methanobacteriaceae	Euryarchaeota	1	0.02556335642920163
1011245	Moraxellaceae	Pseudomonadota	1	2.899941005195922e-4
1011245	Mycoplasmataceae	Mycoplasmatota	1	0.004588047450727605
1011245	Odoribacteraceae	Bacteroidota	6	0.009665203089096044
1011245	Oscillospiraceae	Bacillota	1	0.004405720986662028
1011245	Oscillospiraceae	Bacillota	6	0
1011245	Peptostreptococcaceae	Bacillota	1	0.0014891525491433236
1011245	Prevotellaceae	Bacteroidota	1	0.0010572057529291195
1011245	Prevotellaceae	Bacteroidota	6	0.21340212021520388
1011245	Rhodospirillaceae	Pseudomonadota	6	0.019357591751895546
1011245	Rikenellaceae	Bacteroidota	6	0.21463139528510916
1011245	Selenomonadaceae	Bacillota	1	0.0033079681392031734
1011245	Spirochaetaceae	Spirochaetota	6	0.0015128911238888737
1011245	Streptococcaceae	Bacillota	1	0.009437784862240414
1011245	Succinivibrionaceae	Pseudomonadota	1	0.004788678825091217
1011245	Sutterellaceae	Pseudomonadota	1	5.30628215607077e-4
1011245	Sutterellaceae	Pseudomonadota	6	0.048053740793712385
1011245	Tannerellaceae	Bacteroidota	6	0.025338715290520702
1011245	Veillonellaceae	Bacillota	1	0.052448300644296314
1011246	Acetobacteraceae	Pseudomonadota	6	0.003057184740770181
1011246	Acidaminococcaceae	Bacillota	1	0.020557581112695216
1011246	Acidaminococcaceae	Bacillota	6	0.0031831474820900466
1011246	Atopobiaceae	Actinomycetota	1	0.030864931652988887
1011246	Bacteroidaceae	Bacteroidota	6	0.13084775487332326
1011246	Barnesiellaceae	Bacteroidota	6	5.907444392604145e-4
1011246	Bifidobacteriaceae	Actinomycetota	1	0.08530472900684678
1011246	Christensenellaceae	Bacillota	1	0
1011246	Clostridiaceae	Bacillota	1	0.025893845441578984
1011246	Coriobacteriaceae	Actinomycetota	1	0.011423928515671028
1011246	Coriobacteriaceae	Actinomycetota	1	8.609775094089674e-4
1011246	Desulfovibrionaceae	Pseudomonadota	1	0.026322659171314593
1011246	Eggerthellaceae	Actinomycetota	1	0.006258057327556631
1011246	Erysipelotrichaceae	Bacillota	1	0.0025214009253922017
1011246	Eubacteriaceae	Bacillota	1	0.003851959760873539
1011246	Eubacteriales Family XIII. Incertae Sedis	Bacillota	1	2.3945088915696032e-4
1011246	Fusobacteriaceae	Fusobacteriota	6	0.0015562173642246495
1011246	Hydrogenophilaceae	Pseudomonadota	6	0.044183891409961054
1011246	Lachnospiraceae	Bacillota	1	0.0134646976958593
1011246	Lachnospiraceae	Bacillota	6	6.744880804771234e-4
1011246	Lactobacillaceae	Bacillota	1	0.00508370543664309
1011246	Methanobacteriaceae	Euryarchaeota	1	0.0010401408879621055
1011246	Moraxellaceae	Pseudomonadota	1	2.2524654180492663e-4
1011246	Mycoplasmataceae	Mycoplasmatota	1	1.2782705939427979e-4
1011246	Odoribacteraceae	Bacteroidota	6	0.002362977757041658
1011246	Oscillospiraceae	Bacillota	1	0.001503983317613953
1011246	Oscillospiraceae	Bacillota	6	0.004481170722658101
1011246	Peptostreptococcaceae	Bacillota	1	0.0018926550996485022
1011246	Prevotellaceae	Bacteroidota	1	0.0034607175571578393
1011246	Prevotellaceae	Bacteroidota	6	0.5572489491894799
1011246	Rhodospirillaceae	Pseudomonadota	6	0.024562320357477376
1011246	Rikenellaceae	Bacteroidota	6	0.10772275066830943
1011246	Selenomonadaceae	Bacillota	1	0.1015848450695093
1011246	Spirochaetaceae	Spirochaetota	6	0.005860771044417326
1011246	Streptococcaceae	Bacillota	1	0.013014150853561304
1011246	Succinivibrionaceae	Pseudomonadota	1	0.008022967196691438
1011246	Sutterellaceae	Pseudomonadota	1	0.0013238302319183853
1011246	Sutterellaceae	Pseudomonadota	6	0.03059806503767804
1011246	Tannerellaceae	Bacteroidota	6	0.02877202646075219
1011246	Veillonellaceae	Bacillota	1	0.4419699238302667
1011247	Acetobacteraceae	Pseudomonadota	6	0.015941659916586914
1011247	Acidaminococcaceae	Bacillota	1	0.015188625190355184
1011247	Acidaminococcaceae	Bacillota	6	0.003163737203942525
1011247	Atopobiaceae	Actinomycetota	1	0.00535473605079112
1011247	Bacteroidaceae	Bacteroidota	6	0.1885008810126771
1011247	Barnesiellaceae	Bacteroidota	6	0
